Y[ 0] = -32767 = 0x8001 ....... y[ 0] = -0.99997
Y[ 1] = -32767 = 0x8001 ....... y[ 1] = -0.99997
Y[ 2] = -24174 = 0xA192 ....... y[ 2] = -0.73773
Y[ 3] =   -565 = 0xFDCB ....... y[ 3] = -0.01724
Y[ 4] = +23343 = 0x5B2F ....... y[ 4] =  0.71237
Y[ 5] = +32767 = 0x7FFF ....... y[ 5] =  0.99997
Y[ 6] = +32767 = 0x7FFF ....... y[ 6] =  0.99997
Y[ 7] = +32766 = 0x7FFE ....... y[ 7] =  0.99994
Y[ 8] = +32766 = 0x7FFE ....... y[ 8] =  0.99994
Y[ 9] = +32767 = 0x7FFF ....... y[ 9] =  0.99997
Y[10] = +32767 = 0x7FFF ....... y[10] =  0.99997
Y[11] = +32766 = 0x7FFE ....... y[11] =  0.99994
Y[12] = +32766 = 0x7FFE ....... y[12] =  0.99994
Y[13] = +32767 = 0x7FFF ....... y[13] =  0.99997
Y[14] = +32767 = 0x7FFF ....... y[14] =  0.99997
Y[15] = +32766 = 0x7FFE ....... y[15] =  0.99994
Y[16] = +32766 = 0x7FFE ....... y[16] =  0.99994
Y[17] = +32767 = 0x7FFF ....... y[17] =  0.99997
Y[18] = +32767 = 0x7FFF ....... y[18] =  0.99997
Y[19] = +32766 = 0x7FFE ....... y[19] =  0.99994
Y[20] = +32766 = 0x7FFE ....... y[20] =  0.99994
Y[21] = +32767 = 0x7FFF ....... y[21] =  0.99997
Y[22] = +32767 = 0x7FFF ....... y[22] =  0.99997
Y[23] = +32766 = 0x7FFE ....... y[23] =  0.99994
Y[24] = +32766 = 0x7FFE ....... y[24] =  0.99994
Y[25] = +32767 = 0x7FFF ....... y[25] =  0.99997
Y[26] = +32767 = 0x7FFF ....... y[26] =  0.99997
Y[27] = +32766 = 0x7FFE ....... y[27] =  0.99994
Y[28] = +32766 = 0x7FFE ....... y[28] =  0.99994
Y[29] = +32767 = 0x7FFF ....... y[29] =  0.99997
Y[30] = +32767 = 0x7FFF ....... y[30] =  0.99997
Y[31] = +32766 = 0x7FFE ....... y[31] =  0.99994
Y[32] = +32766 = 0x7FFE ....... y[32] =  0.99994
Y[33] = +32767 = 0x7FFF ....... y[33] =  0.99997
Y[34] = +32767 = 0x7FFF ....... y[34] =  0.99997
Y[35] = +32766 = 0x7FFE ....... y[35] =  0.99994
Y[36] = +32766 = 0x7FFE ....... y[36] =  0.99994
Y[37] = +32767 = 0x7FFF ....... y[37] =  0.99997
Y[38] = +32767 = 0x7FFF ....... y[38] =  0.99997
Y[39] = +32766 = 0x7FFE ....... y[39] =  0.99994
Y[40] = +32766 = 0x7FFE ....... y[40] =  0.99994
Y[41] = +32767 = 0x7FFF ....... y[41] =  0.99997
Y[42] = +32767 = 0x7FFF ....... y[42] =  0.99997
Y[43] = +32766 = 0x7FFE ....... y[43] =  0.99994
Y[44] = +32766 = 0x7FFE ....... y[44] =  0.99994
Y[45] = +32767 = 0x7FFF ....... y[45] =  0.99997
Y[46] = +32767 = 0x7FFF ....... y[46] =  0.99997
Y[47] = +32766 = 0x7FFE ....... y[47] =  0.99994
Y[48] = +32766 = 0x7FFE ....... y[48] =  0.99994
Y[49] = +32767 = 0x7FFF ....... y[49] =  0.99997
Y[50] = +32767 = 0x7FFF ....... y[50] =  0.99997
Y[51] = +32766 = 0x7FFE ....... y[51] =  0.99994
Y[52] = +32766 = 0x7FFE ....... y[52] =  0.99994
Y[53] = +32767 = 0x7FFF ....... y[53] =  0.99997
Y[54] = +32767 = 0x7FFF ....... y[54] =  0.99997
Y[55] = +32766 = 0x7FFE ....... y[55] =  0.99994
Y[56] = +32766 = 0x7FFE ....... y[56] =  0.99994
Y[57] = +32767 = 0x7FFF ....... y[57] =  0.99997
Y[58] = +32767 = 0x7FFF ....... y[58] =  0.99997
Y[59] = +32766 = 0x7FFE ....... y[59] =  0.99994
Y[60] = +32766 = 0x7FFE ....... y[60] =  0.99994
Y[61] = +32767 = 0x7FFF ....... y[61] =  0.99997
Y[62] = +32767 = 0x7FFF ....... y[62] =  0.99997
Y[63] = +32766 = 0x7FFE ....... y[63] =  0.99994
Y[64] = +32766 = 0x7FFE ....... y[64] =  0.99994
Y[65] = +32767 = 0x7FFF ....... y[65] =  0.99997
Y[66] = +32767 = 0x7FFF ....... y[66] =  0.99997
Y[67] = +32766 = 0x7FFE ....... y[67] =  0.99994
Y[68] = +32766 = 0x7FFE ....... y[68] =  0.99994
Y[69] = +32767 = 0x7FFF ....... y[69] =  0.99997
Y[70] = +32767 = 0x7FFF ....... y[70] =  0.99997
Y[71] = +32766 = 0x7FFE ....... y[71] =  0.99994
Y[72] = +32766 = 0x7FFE ....... y[72] =  0.99994
Y[73] = +32767 = 0x7FFF ....... y[73] =  0.99997
Y[74] = +32767 = 0x7FFF ....... y[74] =  0.99997
Y[75] = +32766 = 0x7FFE ....... y[75] =  0.99994
Y[76] = +32766 = 0x7FFE ....... y[76] =  0.99994
Y[77] = +32767 = 0x7FFF ....... y[77] =  0.99997
Y[78] = +32767 = 0x7FFF ....... y[78] =  0.99997
Y[79] = +32766 = 0x7FFE ....... y[79] =  0.99994
