Y[ 0] = -16384 = 0xC000 ....... y[ 0] = -1.00000
Y[ 1] = -16384 = 0xC000 ....... y[ 1] = -1.00000
Y[ 2] = -16265 = 0xC077 ....... y[ 2] = -0.99274
Y[ 3] = +13836 = 0x360C ....... y[ 3] =  0.84448
Y[ 4] =   +237 = 0x00ED ....... y[ 4] =  0.01447
Y[ 5] =   +237 = 0x00ED ....... y[ 5] =  0.01447
Y[ 6] =   +471 = 0x01D7 ....... y[ 6] =  0.02875
Y[ 7] =    +39 = 0x0027 ....... y[ 7] =  0.00238
Y[ 8] =   +237 = 0x00ED ....... y[ 8] =  0.01447
Y[ 9] =   +237 = 0x00ED ....... y[ 9] =  0.01447
Y[10] =   +471 = 0x01D7 ....... y[10] =  0.02875
Y[11] =    +39 = 0x0027 ....... y[11] =  0.00238
Y[12] =   +237 = 0x00ED ....... y[12] =  0.01447
Y[13] =   +237 = 0x00ED ....... y[13] =  0.01447
Y[14] =   +471 = 0x01D7 ....... y[14] =  0.02875
Y[15] =    +39 = 0x0027 ....... y[15] =  0.00238
Y[16] =   +237 = 0x00ED ....... y[16] =  0.01447
Y[17] =   +237 = 0x00ED ....... y[17] =  0.01447
Y[18] =   +471 = 0x01D7 ....... y[18] =  0.02875
Y[19] =    +39 = 0x0027 ....... y[19] =  0.00238
Y[20] =   +237 = 0x00ED ....... y[20] =  0.01447
Y[21] =   +237 = 0x00ED ....... y[21] =  0.01447
Y[22] =   +471 = 0x01D7 ....... y[22] =  0.02875
Y[23] =    +39 = 0x0027 ....... y[23] =  0.00238
Y[24] =   +237 = 0x00ED ....... y[24] =  0.01447
Y[25] =   +237 = 0x00ED ....... y[25] =  0.01447
Y[26] =   +471 = 0x01D7 ....... y[26] =  0.02875
Y[27] =    +39 = 0x0027 ....... y[27] =  0.00238
Y[28] =   +237 = 0x00ED ....... y[28] =  0.01447
Y[29] =   +237 = 0x00ED ....... y[29] =  0.01447
Y[30] =   +471 = 0x01D7 ....... y[30] =  0.02875
Y[31] =    +39 = 0x0027 ....... y[31] =  0.00238
Y[32] =   +237 = 0x00ED ....... y[32] =  0.01447
Y[33] =   +237 = 0x00ED ....... y[33] =  0.01447
Y[34] =   +471 = 0x01D7 ....... y[34] =  0.02875
Y[35] =    +39 = 0x0027 ....... y[35] =  0.00238
Y[36] =   +237 = 0x00ED ....... y[36] =  0.01447
Y[37] =   +237 = 0x00ED ....... y[37] =  0.01447
Y[38] =   +471 = 0x01D7 ....... y[38] =  0.02875
Y[39] =    +39 = 0x0027 ....... y[39] =  0.00238
Y[40] =   +237 = 0x00ED ....... y[40] =  0.01447
Y[41] =   +237 = 0x00ED ....... y[41] =  0.01447
Y[42] =   +471 = 0x01D7 ....... y[42] =  0.02875
Y[43] =    +39 = 0x0027 ....... y[43] =  0.00238
Y[44] =   +237 = 0x00ED ....... y[44] =  0.01447
Y[45] =   +237 = 0x00ED ....... y[45] =  0.01447
Y[46] =   +471 = 0x01D7 ....... y[46] =  0.02875
Y[47] =    +39 = 0x0027 ....... y[47] =  0.00238
Y[48] =   +237 = 0x00ED ....... y[48] =  0.01447
Y[49] =   +237 = 0x00ED ....... y[49] =  0.01447
Y[50] =   +471 = 0x01D7 ....... y[50] =  0.02875
Y[51] =    +39 = 0x0027 ....... y[51] =  0.00238
Y[52] =   +237 = 0x00ED ....... y[52] =  0.01447
Y[53] =   +237 = 0x00ED ....... y[53] =  0.01447
Y[54] =   +471 = 0x01D7 ....... y[54] =  0.02875
Y[55] =    +39 = 0x0027 ....... y[55] =  0.00238
Y[56] =   +237 = 0x00ED ....... y[56] =  0.01447
Y[57] =   +237 = 0x00ED ....... y[57] =  0.01447
Y[58] =   +471 = 0x01D7 ....... y[58] =  0.02875
Y[59] =    +39 = 0x0027 ....... y[59] =  0.00238
Y[60] =   +237 = 0x00ED ....... y[60] =  0.01447
Y[61] =   +237 = 0x00ED ....... y[61] =  0.01447
Y[62] =   +471 = 0x01D7 ....... y[62] =  0.02875
Y[63] =    +39 = 0x0027 ....... y[63] =  0.00238
Y[64] =   +237 = 0x00ED ....... y[64] =  0.01447
Y[65] =   +237 = 0x00ED ....... y[65] =  0.01447
Y[66] =   +471 = 0x01D7 ....... y[66] =  0.02875
Y[67] =    +39 = 0x0027 ....... y[67] =  0.00238
Y[68] =   +237 = 0x00ED ....... y[68] =  0.01447
Y[69] =   +237 = 0x00ED ....... y[69] =  0.01447
Y[70] =   +471 = 0x01D7 ....... y[70] =  0.02875
Y[71] =    +39 = 0x0027 ....... y[71] =  0.00238
Y[72] =   +237 = 0x00ED ....... y[72] =  0.01447
Y[73] =   +237 = 0x00ED ....... y[73] =  0.01447
Y[74] =   +471 = 0x01D7 ....... y[74] =  0.02875
Y[75] =    +39 = 0x0027 ....... y[75] =  0.00238
Y[76] =   +237 = 0x00ED ....... y[76] =  0.01447
Y[77] =   +237 = 0x00ED ....... y[77] =  0.01447
Y[78] =   +471 = 0x01D7 ....... y[78] =  0.02875
Y[79] =    +39 = 0x0027 ....... y[79] =  0.00238
Y[80] =   +237 = 0x00ED ....... y[80] =  0.01447
Y[81] =   +237 = 0x00ED ....... y[81] =  0.01447
Y[82] =   +471 = 0x01D7 ....... y[82] =  0.02875
Y[83] =    +39 = 0x0027 ....... y[83] =  0.00238
Y[84] =   +237 = 0x00ED ....... y[84] =  0.01447
Y[85] =   +237 = 0x00ED ....... y[85] =  0.01447
Y[86] =   +471 = 0x01D7 ....... y[86] =  0.02875
Y[87] =    +39 = 0x0027 ....... y[87] =  0.00238
Y[88] =   +237 = 0x00ED ....... y[88] =  0.01447
Y[89] =   +237 = 0x00ED ....... y[89] =  0.01447
Y[90] =   +471 = 0x01D7 ....... y[90] =  0.02875
Y[91] =    +39 = 0x0027 ....... y[91] =  0.00238
Y[92] =   +237 = 0x00ED ....... y[92] =  0.01447
Y[93] =   +237 = 0x00ED ....... y[93] =  0.01447
Y[94] =   +471 = 0x01D7 ....... y[94] =  0.02875
Y[95] =    +39 = 0x0027 ....... y[95] =  0.00238
Y[96] =   +237 = 0x00ED ....... y[96] =  0.01447
Y[97] =   +237 = 0x00ED ....... y[97] =  0.01447
Y[98] =   +471 = 0x01D7 ....... y[98] =  0.02875
Y[99] =    +39 = 0x0027 ....... y[99] =  0.00238
Elapsed time: 20 milliseconds
